Date,GRADE,GPS,BSX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-03-08,50.82184229848114,P,4.4375,4.51875,4.51875,4.7140625,5.085,4.938125,4.73796875
1993-03-09,50.64078678419937,B,4.40625,4.46875,4.540625,4.671875,5.075,4.935625,4.73671875
1993-03-10,50.556879680461385,B,4.46875,4.44375,4.528125,4.6328125,5.065,4.9346875,4.7365625
1993-03-11,50.49249022256864,B,4.3125,4.425,4.5,4.5875,5.046875,4.931875,4.73625
1993-03-12,50.04111744207202,B,4.03125,4.33125,4.4375,4.5265625,5.023125,4.9265625,4.73484375
1993-03-15,49.56749377090748,B,4.03125,4.25,4.384375,4.465625,4.998125,4.9203125,4.7334375
1993-03-16,49.055747576578845,B,3.84375,4.1375,4.303125,4.40625,4.970625,4.9109375,4.73203125
1993-03-17,48.44625256318369,B,3.71875,3.9875,4.215625,4.35625,4.94,4.8984375,4.73
1993-03-18,48.14542551110723,B,3.84375,3.89375,4.159375,4.3171875,4.91375,4.885625,4.72875
1993-03-19,48.04454834502528,B,3.6875,3.825,4.078125,4.2765625,4.88375,4.870625,4.72625
1993-03-22,48.11056909565493,B,3.78125,3.775,4.0125,4.265625,4.854375,4.85875,4.724375
1993-03-23,48.28087222317426,B,3.6875,3.74375,3.940625,4.240625,4.825,4.8465625,4.7221875
1993-03-24,48.45302950672977,B,3.625,3.725,3.85625,4.1921875,4.7925,4.8334375,4.720625
1993-03-25,48.476921108514624,B,3.6875,3.69375,3.79375,4.146875,4.761875,4.8203125,4.719375
1993-03-26,48.686968306999326,B,3.6875,3.69375,3.759375,4.0984375,4.731875,4.8078125,4.718125
1993-03-29,48.71155314111755,B,3.65625,3.66875,3.721875,4.053125,4.701875,4.7959375,4.7184375
1993-03-30,48.836237112646415,B,3.71875,3.675,3.709375,4.00625,4.671875,4.7840625,4.7171875
1993-03-31,49.34295005742231,B,4.0,3.75,3.7375,3.9765625,4.646875,4.77375,4.7175
1993-04-01,49.22149921512334,B,3.375,3.6875,3.690625,3.925,4.60875,4.7571875,4.715
1993-04-02,49.068217191859766,B,3.4375,3.6375,3.665625,3.871875,4.568125,4.7425,4.7128125
1993-04-05,48.877911755398095,B,3.4375,3.59375,3.63125,3.821875,4.523125,4.729375,4.70890625
1993-04-06,48.644525781613254,B,3.46875,3.54375,3.609375,3.775,4.476875,4.7165625,4.70484375
1993-04-07,47.98033126241987,B,3.375,3.41875,3.584375,3.7203125,4.43125,4.7021875,4.700625
1993-04-08,47.9406151203407,B,3.25,3.39375,3.540625,3.6671875,4.385,4.68625,4.6946875
1993-04-09,47.85262092819149,B,3.25,3.35625,3.496875,3.628125,4.3375,4.670625,4.68875
1993-04-12,47.87628273528534,B,3.34375,3.3375,3.465625,3.59375,4.291875,4.655625,4.6825
1993-04-13,47.86965557416417,B,3.3125,3.30625,3.425,3.5671875,4.24625,4.64125,4.67609375
1993-04-14,48.00111024582682,B,3.3125,3.29375,3.35625,3.546875,4.20125,4.626875,4.6703125
1993-04-15,48.18036296025448,B,3.25,3.29375,3.34375,3.5171875,4.1575,4.611875,4.66390625
1993-04-16,48.34226462868342,B,3.21875,3.2875,3.321875,3.49375,4.115625,4.596875,4.65765625
1993-04-19,48.39311620941237,B,3.21875,3.2625,3.3,3.465625,4.074375,4.5821875,4.65109375
1993-04-20,48.51163499075128,B,3.28125,3.25625,3.28125,3.4453125,4.035,4.5675,4.64421875
1993-04-21,48.644147732566864,B,3.25,3.24375,3.26875,3.4265625,3.995,4.5528125,4.63765625
1993-04-22,48.77950742724935,B,3.34375,3.2625,3.278125,3.409375,3.9575,4.5384375,4.630625
1993-04-23,49.00525334446221,B,3.4375,3.30625,3.296875,3.396875,3.92125,4.5246875,4.62453125
1993-04-26,49.28542808699669,C,3.46875,3.35625,3.309375,3.3875,3.885625,4.510625,4.619375
1993-04-27,49.5935299606378,C,3.5625,3.4125,3.334375,3.3796875,3.85625,4.4990625,4.6134375
1993-04-28,49.88248522152356,C,3.5625,3.475,3.359375,3.3578125,3.833125,4.4871875,4.60703125
1993-04-29,50.19533468633912,C,3.59375,3.525,3.39375,3.36875,3.8125,4.47625,4.6009375
1993-04-30,50.406008869468536,C,3.59375,3.55625,3.43125,3.3765625,3.794375,4.465,4.5953125
1993-05-03,50.7103518861376,C,3.65625,3.59375,3.475,3.3875,3.7875,4.4546875,4.59046875
1993-05-04,50.99333046621758,C,3.8125,3.64375,3.528125,3.4046875,3.78,4.44625,4.5853125
1993-05-05,51.370590935375795,C,3.9375,3.71875,3.596875,3.4328125,3.766875,4.44,4.58
1993-05-06,51.40478243937266,C,3.71875,3.74375,3.634375,3.45625,3.749375,4.4303125,4.57359375
1993-05-07,51.44684387660135,C,3.75,3.775,3.665625,3.48125,3.73125,4.420625,4.56734375
1993-05-10,51.2377164379236,C,3.625,3.76875,3.68125,3.4953125,3.7125,4.409375,4.560625
1993-05-11,50.838834139815276,C,3.5625,3.71875,3.68125,3.5078125,3.690625,4.3971875,4.55359375
1993-05-12,50.284421971738645,C,3.5,3.63125,3.675,3.5171875,3.66875,4.3853125,4.54640625
1993-05-13,50.02715057152276,C,3.5,3.5875,3.665625,3.5296875,3.650625,4.37375,4.53890625
1993-05-14,49.736666670023546,B,3.46875,3.53125,3.653125,3.5421875,3.63,4.361875,4.53171875
1993-05-17,49.64946197299067,B,3.53125,3.5125,3.640625,3.5578125,3.611875,4.3484375,4.52515625
1993-05-18,49.79170738255428,B,3.65625,3.53125,3.625,3.5765625,3.596875,4.3359375,4.5203125
1993-05-19,50.0460675041244,B,3.71875,3.575,3.603125,3.6,3.581875,4.3234375,4.51609375
1993-05-20,50.50284492440468,C,4.0,3.675,3.63125,3.6328125,3.575625,4.31125,4.51359375
1993-05-21,51.08112575952982,C,4.0625,3.79375,3.6625,3.6640625,3.57625,4.2996875,4.5121875
1993-05-24,51.502328354552645,C,3.96875,3.88125,3.696875,3.6890625,3.575,4.2865625,4.50984375
1993-05-25,51.75945277774927,C,3.90625,3.93125,3.73125,3.70625,3.57625,4.2734375,4.50734375
1993-05-26,51.9432634833179,C,3.875,3.9625,3.76875,3.721875,3.579375,4.2596875,4.5040625
1993-05-27,51.79134411156465,C,3.90625,3.94375,3.809375,3.7375,3.580625,4.2471875,4.50078125
1993-05-28,51.528219713625965,C,3.875,3.90625,3.85,3.7515625,3.584375,4.2340625,4.49734375
1993-05-31,51.34864876738942,C,3.875,3.8875,3.884375,3.7625,3.58625,4.2203125,4.49421875
1993-06-01,51.29146126359507,C,3.96875,3.9,3.915625,3.7703125,3.591875,4.2084375,4.4909375
1993-06-02,51.229933319042864,C,3.96875,3.91875,3.940625,3.771875,3.59875,4.195625,4.48703125
1993-06-03,51.12390976147179,C,3.90625,3.91875,3.93125,3.78125,3.603125,4.1825,4.4825
1993-06-04,51.061821535639474,C,3.9375,3.93125,3.91875,3.790625,3.608125,4.17,4.47796875
1993-06-07,51.05253909326736,C,3.9375,3.94375,3.915625,3.80625,3.61375,4.1578125,4.4734375
1993-06-08,50.913495407584236,C,3.875,3.925,3.9125,3.821875,3.616875,4.144375,4.46890625
1993-06-09,50.735326766397485,B,3.8125,3.89375,3.90625,3.8375,3.613125,4.13,4.4640625
1993-06-10,50.64054397588142,B,3.6875,3.85,3.884375,3.846875,3.619375,4.1140625,4.46
1993-06-11,50.52334341987861,B,3.71875,3.80625,3.86875,3.859375,3.625,4.0965625,4.455625
1993-06-14,50.30278869431047,B,3.6875,3.75625,3.85,3.8671875,3.63,4.0765625,4.45109375
1993-06-15,50.08492630535034,B,3.65625,3.7125,3.81875,3.8671875,3.63375,4.0553125,4.44625
1993-06-16,49.93178952629805,B,3.625,3.675,3.784375,3.8625,3.63875,4.035,4.44046875
1993-06-17,49.842730577392445,B,3.65625,3.66875,3.759375,3.8453125,3.646875,4.0159375,4.43421875
1993-06-18,49.63749469922166,B,3.5625,3.6375,3.721875,3.8203125,3.653125,3.9953125,4.4271875
1993-06-21,49.61783248117619,B,3.6875,3.6375,3.696875,3.80625,3.66,3.9759375,4.4209375
1993-06-22,49.61251132382935,B,3.59375,3.625,3.66875,3.790625,3.665625,3.9559375,4.4140625
1993-06-23,49.50770370018986,B,3.4375,3.5875,3.63125,3.76875,3.668125,3.9346875,4.4065625
1993-06-24,49.43261041480084,B,3.5,3.55625,3.6125,3.7484375,3.673125,3.9153125,4.39859375
1993-06-25,49.61387667603532,B,3.59375,3.5625,3.6,3.734375,3.680625,3.898125,4.39203125
1993-06-28,49.78676892190202,B,3.75,3.575,3.60625,3.728125,3.69125,3.8828125,4.38625
1993-06-29,49.9494731623732,B,3.65625,3.5875,3.60625,3.7125,3.69875,3.866875,4.380625
1993-06-30,50.13631824630744,B,3.5,3.6,3.59375,3.6890625,3.70375,3.849375,4.37453125
1993-07-01,50.39360111495183,B,3.6875,3.6375,3.596875,3.678125,3.710625,3.8340625,4.369375
1993-07-02,50.528541288269814,C,3.71875,3.6625,3.6125,3.6671875,3.71625,3.81875,4.365
1993-07-05,50.488206238799,C,3.71875,3.65625,3.615625,3.65625,3.72125,3.8034375,4.36140625
1993-07-06,50.54302226204599,C,3.6875,3.6625,3.625,3.646875,3.72375,3.79,4.3575
1993-07-07,50.96797287444343,C,3.875,3.7375,3.66875,3.65,3.73,3.7815625,4.3546875
1993-07-08,51.036935021744604,C,3.6875,3.7375,3.6875,3.65,3.731875,3.7721875,4.35078125
1993-07-09,51.121795399627096,C,3.71875,3.7375,3.7,3.65,3.734375,3.764375,4.3484375
1993-07-12,51.34285959680245,C,3.78125,3.75,3.703125,3.6546875,3.736875,3.7621875,4.34671875
1993-07-13,51.48929320445446,C,3.75,3.7625,3.7125,3.659375,3.735625,3.7578125,4.344375
1993-07-14,51.27061501590594,C,3.75,3.7375,3.7375,3.665625,3.731875,3.749375,4.34125
1993-07-15,51.24673738408338,C,3.71875,3.74375,3.740625,3.66875,3.731875,3.740625,4.33703125
1993-07-16,51.07809343991328,C,3.59375,3.71875,3.728125,3.6703125,3.72875,3.73,4.3328125
1993-07-19,50.79233481801447,C,3.5625,3.675,3.7125,3.6640625,3.7275,3.72,4.3284375
1993-07-20,50.458851289984274,B,3.4375,3.6125,3.6875,3.65625,3.725,3.7078125,4.3234375
1993-07-21,50.19682387866859,B,3.4375,3.55,3.64375,3.65625,3.72375,3.69625,4.318125
1993-07-22,49.868340211968324,B,3.28125,3.4625,3.603125,3.6453125,3.719375,3.685,4.3121875
1993-07-23,49.71371617953039,B,3.34375,3.4125,3.565625,3.6328125,3.716875,3.6734375,4.30640625
1993-07-26,49.65003901618562,B,3.4375,3.3875,3.53125,3.6171875,3.715,3.6634375,4.30078125
1993-07-27,49.73660509360477,B,3.46875,3.39375,3.503125,3.6078125,3.71125,3.6540625,4.29484375
1993-07-28,49.95989520151906,B,3.59375,3.425,3.4875,3.6125,3.70875,3.6453125,4.29
1993-07-29,50.3236931124535,B,3.65625,3.5,3.48125,3.6109375,3.701875,3.63875,4.2853125
1993-07-30,50.68580614426381,B,3.6875,3.56875,3.490625,3.609375,3.694375,3.6353125,4.2809375
1993-08-02,50.89640050915156,B,3.59375,3.6,3.49375,3.603125,3.686875,3.6309375,4.275625
1993-08-03,51.0268984595321,C,3.53125,3.6125,3.503125,3.5953125,3.679375,3.6278125,4.269375
1993-08-04,51.00014857321293,C,3.5625,3.60625,3.515625,3.5796875,3.673125,3.62625,4.26234375
1993-08-05,50.870869352551956,C,3.5,3.575,3.5375,3.5703125,3.665,3.6228125,4.25421875
1993-08-06,50.5883845690498,B,3.40625,3.51875,3.54375,3.5546875,3.655625,3.62,4.2453125
1993-08-09,50.38042490356941,B,3.375,3.475,3.5375,3.534375,3.645625,3.6159375,4.23734375
1993-08-10,50.26462186982607,B,3.4375,3.45625,3.534375,3.51875,3.635,3.6134375,4.23
1993-08-11,50.09176937247977,B,3.375,3.41875,3.5125,3.5,3.623125,3.6109375,4.2221875
1993-08-12,49.964045850918524,B,3.375,3.39375,3.484375,3.4828125,3.6125,3.6078125,4.2140625
1993-08-13,49.9400814337369,B,3.34375,3.38125,3.45,3.4703125,3.600625,3.604375,4.20609375
1993-08-16,50.03944837342087,B,3.40625,3.3875,3.43125,3.4625,3.59,3.601875,4.19890625
