Date,GRADE,GPS,APA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2016-11-10,59.630762979024176,P,48.92013931274414,48.1249382019043,48.783415985107425,50.44672260284424,50.23877471923828,47.23101181030273,44.37806880950928
2016-11-11,60.9833798622575,P,48.41685104370117,48.39000625610352,48.531769561767575,50.287169456481934,50.35007141113281,47.2589123916626,44.45850248336792
2016-11-14,62.23061730107597,P,49.43183135986328,48.63830032348633,48.48563461303711,50.17502346038818,50.48166770935059,47.32074939727783,44.55009618759155
2016-11-15,64.96574585809252,P,53.172969818115234,49.7220573425293,48.80941925048828,50.20899543762207,50.68173698425293,47.40186676025391,44.66867474555969
2016-11-16,66.62635411830628,P,52.38447952270508,50.46525421142578,49.06022720336914,50.13056545257568,50.80822067260742,47.4615425491333,44.78434579849243
2016-11-17,67.52552987464155,A,51.50370788574219,50.98196792602539,49.553453063964845,50.04332733154297,50.85158683776856,47.51357501983642,44.89954556465149
2016-11-18,68.75825706497766,A,52.07411575317383,51.71342086791992,50.05171356201172,50.03871364593506,50.90051300048828,47.56299461364746,45.00869732856751
2016-11-21,69.709378056047,A,53.07232284545898,52.44151916503906,50.539909744262694,50.10959453582764,50.96104858398437,47.622396278381345,45.12284012794495
2016-11-22,68.61369268579683,A,52.40126800537109,52.28717880249023,51.004618072509764,50.189283180236814,51.048098983764646,47.69172134399414,45.22973641395569
2016-11-23,68.55969441784939,A,53.39107131958008,52.48849716186523,51.476875686645506,50.271907043457034,51.1676448059082,47.76570472717285,45.330860204696656
2016-11-24,68.77975140634943,A,53.39107131958008,52.865969848632815,51.9239688873291,50.35369243621826,51.25460670471191,47.84301490783692,45.43719988822937
2016-11-25,68.54372072092985,A,52.71162033081055,52.99347076416016,52.353445816040036,50.442607688903806,51.3303189086914,47.91128505706787,45.54622744560242
2016-11-28,67.44460504698031,A,51.46176528930664,52.67135925292969,52.55643920898437,50.52103691101074,51.39289802551269,47.96755558013916,45.63956751823425
2016-11-29,66.48136542041536,A,50.95009613037109,52.381124877929686,52.33415184020996,50.57178554534912,51.45125930786133,47.998499183654786,45.737510719299316
2016-11-30,66.74824350453007,A,55.32036590576172,52.76698379516601,52.627740478515626,50.843983840942386,51.540212860107424,48.081462440490725,45.85432476043701
2016-12-01,66.95201349442364,A,54.64091491699219,53.01695251464844,52.941461181640626,51.247457122802736,51.61373908996582,48.15480331420898,45.971094627380374
