Date,GRADE,GPS,ADP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2021-02-04,61.07873676076511,A,157.9677734375,155.08553466796874,153.7305450439453,152.94051971435547,157.82137664794922,149.7881647491455,140.2208479309082
2021-02-05,61.29466308995137,A,154.92991638183594,155.4856414794922,154.2214141845703,152.76593475341798,157.69111114501953,150.09299270629882,140.35674633026122
2021-02-08,61.437161209824325,A,155.52267456054688,155.77645263671874,154.6141098022461,152.73861389160157,157.59794189453126,150.44114921569823,140.4771402359009
2021-02-09,60.872194944893124,A,155.02256774902344,155.59122009277343,154.8780715942383,152.66081695556642,157.48021545410157,150.76698600769043,140.58893810272218
2021-02-10,61.16147138572007,A,154.61505126953125,155.6115966796875,154.99569702148438,152.7664001464844,157.41126953125,151.12734657287598,140.7044299697876
2021-02-11,60.21816345174998,A,154.48536682128906,154.9151153564453,155.00032501220704,152.99284820556642,157.33033386230468,151.46724899291993,140.80467166900635
2021-02-12,60.05988039062882,A,154.69839477539062,154.86881103515626,155.1772262573242,153.26653137207032,157.20391235351562,151.77482856750487,140.9140298843384
2021-02-15,59.6280704226971,A,154.69839477539062,154.703955078125,155.24020385742188,153.54021453857422,157.08154510498048,152.05688995361328,141.02971088409424
2021-02-16,59.417661003868055,A,153.89260864257812,154.47796325683595,155.0345916748047,153.73378372192383,156.9437991333008,152.32877517700194,141.15446376800537
2021-02-17,59.33478328339704,A,154.79100036621094,154.51315307617188,155.0623748779297,153.95513992309571,156.83673370361328,152.59168029785155,141.3162329864502
2021-02-18,60.91444582915614,A,159.85714721679688,155.58750915527344,155.25131225585938,154.49092864990234,156.84784729003906,152.92173667907716,141.5016497039795
2021-02-19,61.51969828424868,A,156.79151916503906,156.00613403320312,155.43747253417968,154.829443359375,156.76930786132812,153.21220062255858,141.67219333648683
2021-02-22,62.444987595913716,A,158.2085723876953,156.70816955566406,155.70606231689453,155.16008605957032,156.72614837646483,153.49573959350585,141.8427714920044
2021-02-23,63.91289656209191,A,159.36630249023438,157.80290832519532,156.14043579101562,155.50925369262694,156.65798278808595,153.7788801574707,142.03414951324464
2021-02-24,65.81619320293794,A,163.5803985595703,159.5607879638672,157.03697052001954,156.01633377075194,156.6770620727539,154.0906198120117,142.23895610809325
2021-02-25,65.7012042231292,A,162.57083129882812,160.10352478027343,157.84551696777345,156.42292098999025,156.64353454589843,154.36204803466796,142.44535598754882
2021-02-26,66.05128248183011,A,161.17234802246094,160.9796905517578,158.49291229248047,156.83506927490234,156.5468426513672,154.5933285522461,142.63771266937255
