Date,GRADE,GPS,VRTX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1992-02-18,,,6.5,6.425,6.525,6.7375,7.15375,7.0125,
1992-02-19,,,5.875,6.325,6.4375,6.6625,7.13125,6.993125,
1992-02-20,,,6.25,6.325,6.4,6.60625,7.11875,6.981875,
1992-02-21,,,6.25,6.275,6.35,6.56875,7.10875,6.969375,
1992-02-24,,,6.125,6.2,6.3,6.50625,7.0975,6.964375,
1992-02-25,,,6.125,6.125,6.275,6.45625,7.08375,6.9575,
1992-02-26,,,6.125,6.175,6.25,6.43125,7.06625,6.95,
1992-02-27,,,6.25,6.175,6.25,6.41875,7.05125,6.94375,
1992-02-28,,,6.0,6.125,6.2,6.38125,7.03625,6.935625,
1992-03-02,,,6.0,6.1,6.15,6.34375,7.025,6.926875,
1992-03-03,,,6.0,6.075,6.1,6.3125,7.01,6.914375,
1992-03-04,,,6.125,6.075,6.125,6.28125,6.9975,6.8975,
1992-03-05,,,5.875,6.0,6.0875,6.24375,6.98,6.88125,
1992-03-06,,,6.0,6.0,6.0625,6.20625,6.95,6.865,
1992-03-09,,,5.75,5.95,6.025,6.1625,6.915,6.85,
1992-03-10,,,5.75,5.9,5.9875,6.13125,6.8825,6.84,
1992-03-11,,,6.125,5.9,5.9875,6.11875,6.8575,6.82625,
1992-03-12,,,5.875,5.9,5.95,6.1,6.825,6.809375,
1992-03-13,,,6.5,6.0,6.0,6.1,6.7925,6.801875,
1992-03-16,,,6.5625,6.1625,6.05625,6.103125,6.75125,6.795,
1992-03-17,,,6.0,6.2125,6.05625,6.078125,6.70375,6.7825,
1992-03-18,,,6.375,6.2625,6.08125,6.103125,6.67125,6.771875,
1992-03-19,,,6.0,6.2875,6.09375,6.090625,6.62875,6.759375,
1992-03-20,,,6.125,6.2125,6.10625,6.084375,6.58625,6.745,
1992-03-23,,,6.0,6.1,6.13125,6.078125,6.54125,6.728125,
1992-03-24,,,5.75,6.05,6.13125,6.059375,6.49625,6.70875,
1992-03-25,,,5.75,5.925,6.09375,6.040625,6.44875,6.68875,
1992-03-26,,,5.375,5.8,6.04375,5.996875,6.40125,6.66625,
1992-03-27,,,5.375,5.65,5.93125,5.965625,6.35375,6.6425,
1992-03-30,,,5.875,5.625,5.8625,5.959375,6.32625,6.625625,
1992-03-31,,,5.875,5.65,5.85,5.953125,6.29625,6.611875,
1992-04-01,,,5.5,5.6,5.7625,5.921875,6.25875,6.595,
1992-04-02,,,5.75,5.675,5.7375,5.915625,6.22625,6.580625,
1992-04-03,,,5.375,5.675,5.6625,5.884375,6.19375,6.57,
1992-04-06,,,5.875,5.675,5.65,5.890625,6.16375,6.56875,
1992-04-07,,,5.625,5.625,5.6375,5.884375,6.13375,6.5675,
1992-04-08,,,5.625,5.65,5.625,5.859375,6.11375,6.56625,
1992-04-09,,,5.5,5.6,5.6375,5.840625,6.09375,6.564375,
1992-04-10,,,5.625,5.65,5.6625,5.796875,6.07125,6.564375,
1992-04-13,,,5.8125,5.6375,5.65625,5.759375,6.0525,6.566875,
1992-04-14,,,5.625,5.6375,5.63125,5.740625,6.0325,6.565625,
1992-04-15,,,6.0,5.7125,5.68125,5.721875,6.0175,6.5675,
1992-04-16,,,6.0,5.8125,5.70625,5.721875,6.005,6.569375,
1992-04-17,,,6.0,5.8875,5.76875,5.715625,5.99,6.5725,
1992-04-20,,,5.75,5.875,5.75625,5.703125,5.9725,6.5725,
1992-04-21,,,6.0,5.95,5.79375,5.715625,5.965,6.575,
1992-04-22,,,5.75,5.9,5.80625,5.715625,5.9525,6.57,
1992-04-23,,,5.875,5.875,5.84375,5.740625,5.945,6.5625,
