Date,GRADE,GPS,CTLT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2016-09-12,56.726605942644085,B,24.21999931335449,24.1439998626709,24.672999763488768,24.856999969482423,24.643599967956543,25.06469997406006,25.19685001373291
2016-09-13,56.335955932363824,B,23.86000061035156,23.85999984741211,24.5519998550415,24.803999996185304,24.667599983215332,25.006799983978272,25.180900020599367
2016-09-14,56.62495873756047,B,24.149999618530277,23.945999908447266,24.4439998626709,24.764499950408936,24.694199981689454,24.949799976348878,25.173600015640258
2016-09-15,57.15403125064884,B,25.270000457763672,24.222000122070312,24.447999954223633,24.777499961853028,24.738999977111817,24.905099983215333,25.16850001335144
2016-09-16,57.869565485485566,B,25.59000015258789,24.618000030517578,24.482999992370605,24.795499992370605,24.78219997406006,24.865699977874755,25.16660001754761
2016-09-19,58.54128459777926,C,26.09000015258789,24.99200019836426,24.568000030517577,24.864999961853027,24.83319995880127,24.832499980926514,25.167950019836425
2016-09-20,59.30406065730714,C,26.209999084472656,25.461999893188477,24.660999870300294,24.898999881744384,24.88259994506836,24.801099967956542,25.167500019073486
2016-09-21,60.06883153965717,C,26.540000915527344,25.940000152587892,24.943000030517577,24.97499990463257,24.947399978637694,24.774099979400635,25.167500019073486
2016-09-22,60.555991155102845,A,26.6299991607666,26.211999893188477,25.217000007629395,25.057999897003175,25.00479995727539,24.785999965667724,25.168850011825562
2016-09-23,60.99770585671798,A,26.700000762939453,26.43400001525879,25.526000022888184,25.142999935150147,25.058999977111817,24.808299980163575,25.17650001525879
2016-09-26,61.05648746896003,A,26.209999084472656,26.457999801635744,25.725,25.198999881744385,25.09699996948242,24.825999965667723,25.181600008010864
2016-09-27,61.17758836336222,A,26.3700008392334,26.49000015258789,25.976000022888183,25.263999938964844,25.13840000152588,24.841999969482423,25.188400011062622
2016-09-28,60.99489569387205,A,26.309999465942383,26.4439998626709,26.192000007629396,25.317999935150148,25.17279998779297,24.861599960327148,25.194750003814697
2016-09-29,60.505711220248976,A,25.600000381469727,26.238000106811523,26.225,25.336499977111817,25.19159999847412,24.879599971771242,25.19800000190735
2016-09-30,60.014670327614226,A,25.84000015258789,26.06599998474121,26.25,25.366499996185304,25.224200019836427,24.89949996948242,25.20244999885559
2016-10-03,59.72666031380439,A,25.82999992370605,25.99000015258789,26.223999977111816,25.3960000038147,25.25120002746582,24.906699962615967,25.20630000114441
2016-10-04,59.37053825050457,A,25.940000534057617,25.904000091552735,26.197000122070314,25.428999996185304,25.28120002746582,24.910899963378906,25.20925000190735
2016-10-05,59.10071960573752,P,25.8700008392334,25.816000366210936,26.130000114440918,25.53650007247925,25.295600051879884,24.908499965667726,25.212100009918213
2016-10-06,59.16680116662502,P,25.979999542236328,25.892000198364258,26.065000152587892,25.641000080108643,25.302200050354003,24.90239995956421,25.216850004196168
2016-10-07,59.02111975657371,P,25.68000030517578,25.860000228881837,25.963000106811524,25.744500064849852,25.30500003814697,24.872699966430662,25.220100002288817
2016-10-10,59.079898929360546,P,26.149999618530277,25.92400016784668,25.957000160217284,25.841000080108643,25.312600021362304,24.851499958038332,25.22890000343323
2016-10-11,58.69240108295895,P,24.68000030517578,25.672000122070312,25.788000106811523,25.882000064849855,25.30220001220703,24.810799961090087,25.22625000953674
2016-10-12,58.14587152302627,B,24.229999542236328,25.3439998626709,25.580000114440917,25.886000061035155,25.280400009155272,24.762499961853027,25.223150005340575
2016-10-13,57.37874364347815,B,23.729999542236328,24.8939998626709,25.393000030517577,25.80900001525879,25.245400009155272,24.708399963378906,25.22050000190735
2016-10-14,56.71887271996932,B,23.57999992370605,24.473999786376954,25.167000007629394,25.7085000038147,25.210400009155272,24.654299964904784,25.217049999237062
2016-10-17,55.78573805686084,B,23.399999618530277,23.923999786376953,24.923999977111816,25.573999977111818,25.175800018310547,24.598399963378906,25.21279999732971
2016-10-18,55.605046604437405,B,24.0,23.7879997253418,24.729999923706053,25.463500022888184,25.152000007629393,24.557199954986572,25.20869999885559
2016-10-19,55.63921621360402,B,24.030000686645508,23.747999954223634,24.545999908447264,25.33800001144409,25.131000022888184,24.519399967193603,25.20960000038147
2016-10-20,56.01386117451617,B,24.43000030517578,23.888000106811525,24.39099998474121,25.22800006866455,25.11280002593994,24.500699977874756,25.209800004959106
2016-10-21,56.47361792416138,B,24.3700008392334,24.046000289916993,24.260000038146973,25.11150007247925,25.108200035095216,24.480899982452392,25.21010001182556
2016-10-24,57.012021590079456,B,24.25,24.216000366210938,24.070000076293944,25.013500118255614,25.093200035095215,24.461199989318846,25.20980001449585
2016-10-25,57.24188553733115,B,23.799999237060547,24.17600021362305,23.981999969482423,24.885000038146973,25.070800018310546,24.460899982452393,25.209200010299682
2016-10-26,57.29501855903991,B,23.36000061035156,24.042000198364256,23.895000076293947,24.73750009536743,25.039200019836425,24.453899993896485,25.20590001106262
2016-10-27,57.274745250817,B,23.420000076293945,23.84000015258789,23.864000129699708,24.628500080108644,25.00740001678467,24.453500003814696,25.20725001335144
2016-10-28,57.08226031864145,B,22.989999771118164,23.563999938964844,23.80500011444092,24.486000061035156,24.962600021362306,24.454300003051756,25.20355001449585
2016-10-31,56.93275772101231,B,22.809999465942383,23.27599983215332,23.74600009918213,24.335000038146973,24.92479999542236,24.45670000076294,25.200900011062622
2016-11-01,56.79421478114625,B,22.950000762939453,23.1060001373291,23.641000175476073,24.185500049591063,24.87319999694824,24.461600017547607,25.19815001487732
