Date,GRADE,GPS,AVY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1989-02-08,48.27681270237709,A,4.924563884735107,4.934930515289307,4.960849618911743,4.867541885375976,4.748834400177002,4.6879251766204835,4.6896342444419865
1989-02-09,48.19344214122733,A,4.769049644470215,4.898644161224365,4.945298194885254,4.86235818862915,4.755054874420166,4.68922110080719,4.6904130983352665
1989-02-10,48.09833966892281,P,4.7431321144104,4.851990509033203,4.916787624359131,4.8571744680404665,4.759720268249512,4.690776233673096,4.691318643093109
1989-02-13,48.034025575653885,P,4.717212677001953,4.815704441070556,4.890868854522705,4.854582619667053,4.763867273330688,4.6925905418396,4.69235089302063
1989-02-14,47.9418753192598,P,4.665376663208008,4.763866996765136,4.857174444198608,4.849398970603943,4.763867273330688,4.694404878616333,4.692483239173889
1989-02-15,47.895312631670755,P,4.7431321144104,4.727580642700195,4.831255578994751,4.850694942474365,4.7649039363861085,4.696737575531006,4.69402952671051
1989-02-16,47.90565661724575,P,4.769049644470215,4.727580642700195,4.813112401962281,4.850694942474365,4.766458950042725,4.696996750831604,4.695192816257477
1989-02-17,47.93509807055624,P,4.769049644470215,4.732764148712159,4.79237732887268,4.850694942474365,4.769050798416138,4.697515120506287,4.696356105804443
1989-02-20,47.962557535693314,P,4.769049644470215,4.743131542205811,4.779417991638184,4.854582476615906,4.7711242580413815,4.697255935668945,4.6972631025314335
1989-02-21,47.99802686547477,P,4.691298961639404,4.74831600189209,4.756091499328614,4.853286790847778,4.771642704010009,4.696737604141235,4.698165783882141
1989-02-22,47.966071562059966,P,4.587618827819824,4.717213344573975,4.722396993637085,4.841623306274414,4.771124296188354,4.69570080280304,4.698934504985809
1989-02-23,47.94148956709022,P,4.638696670532227,4.691142749786377,4.7093616962432865,4.82732994556427,4.772664184570313,4.695174779891968,4.70021491765976
1989-02-24,47.871757618501256,P,4.5344557762146,4.644223976135254,4.688494062423706,4.802640843391418,4.770564155578613,4.691792101860046,4.70123042345047
1989-02-27,47.760713129085815,B,4.404155254364014,4.571245098114014,4.6571883201599125,4.774028587341308,4.7653397274017335,4.687365589141845,4.701978855133056
1989-02-28,47.68941279024136,B,4.4562764167785645,4.524240589141845,4.636278295516968,4.746726369857788,4.761157722473144,4.682423539161682,4.702603464126587
1989-03-01,47.63817868577212,B,4.378096580505371,4.482336139678955,4.599774742126465,4.715515160560608,4.755412120819091,4.677477269172669,4.702455677986145
1989-03-02,47.578749563944115,B,4.43021821975708,4.440640449523926,4.565891599655151,4.689502000808716,4.752264108657837,4.673052215576172,4.702439620494842
1989-03-03,47.59453035142533,B,4.508396148681641,4.435428524017334,4.539826250076294,4.666101789474487,4.749124498367309,4.669668111801148,4.703587727546692
1989-03-06,47.693151179622134,B,4.612637042999268,4.477124881744385,4.524184989929199,4.651801490783692,4.748069705963135,4.667844800949097,4.70525703907013
1989-03-07,47.77804310589794,B,4.664757251739502,4.518821048736572,4.521530818939209,4.638811159133911,4.748057317733765,4.66524673461914,4.706155920028687
1989-03-08,47.89693006532053,B,4.690820217132568,4.581365776062012,4.531850957870484,4.6271239757537845,4.745974359512329,4.6636868715286255,4.705896332263946
1989-03-09,47.99842660671204,B,4.690820217132568,4.63348617553711,4.537063312530518,4.623212504386902,4.7438914012908935,4.660571866035461,4.706152248382568
