Date,GRADE,GPS,NRG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2005-06-22,42.75531264750324,A,14.03258991241455,13.993112182617187,13.84584083557129,13.648655366897582,12.887661266326905,13.380756549835205,12.58171139240265
2005-06-23,42.72607725043932,A,13.990833282470703,14.012849807739258,13.900498580932616,13.680159378051759,12.913168163299561,13.385577001571654,12.601961283683776
2005-06-24,42.698845519426435,A,14.04396915435791,14.027272796630859,13.941111278533935,13.7139404296875,12.948923244476319,13.392257337570191,12.622742552757263
2005-06-27,42.679107997023614,A,14.131274223327637,14.047769355773926,13.976411056518554,13.752086734771728,12.988246421813965,13.398064670562745,12.644245014190673
2005-06-28,42.602295338334564,A,14.188206672668455,14.07737464904785,14.007535171508788,13.783021306991577,13.021040954589843,13.403302659988404,12.66531096458435
2005-06-29,42.518706815174,A,14.127481460571287,14.0963529586792,14.044732570648193,13.80826277732849,13.05717580795288,13.40793339729309,12.686547751426696
2005-06-30,42.57533787628673,A,14.271714210510254,14.15252914428711,14.082689476013183,13.833504009246827,13.092020053863525,13.413816680908203,12.708467745780945
2005-07-01,42.655404566198065,A,14.423542022705078,14.228443717956543,14.1278582572937,13.87240982055664,13.12542200088501,13.41856128692627,12.731830096244812
2005-07-04,42.68861784005531,A,14.423542022705078,14.286897277832031,14.167333316802978,13.924790143966675,13.157685203552246,13.420079565048217,12.754983668327332
2005-07-05,42.807521064698555,A,14.465290069580078,14.342313957214355,14.209844303131103,13.98741855621338,13.193440322875977,13.42167368888855,12.777605843544006
2005-07-06,42.77893626914596,A,14.218573570251465,14.36053237915039,14.228442668914795,14.037141752243041,13.227601337432862,13.418637170791627,12.799336042404175
2005-07-07,42.7155093142176,A,14.283099174499512,14.362809371948241,14.257669258117676,14.079083919525146,13.271479206085205,13.415372838974,12.819623875617982
2005-07-08,42.558928513946846,A,14.294490814208984,14.336999130249023,14.282721424102784,14.11191635131836,13.321278476715088,13.412791805267334,12.83917158126831
2005-07-11,42.498022340121445,A,14.442516326904297,14.340793991088868,14.31384563446045,14.145128345489502,13.375860157012939,13.411691026687622,12.85909882068634
2005-07-12,42.399511566992864,A,14.423542022705078,14.332444381713866,14.33737916946411,14.17245717048645,13.431276950836182,13.415486755371093,12.879026103019715
2005-07-13,42.486787957773004,A,14.37799072265625,14.364327812194825,14.362430095672607,14.2035813331604,13.484264430999756,13.419244451522827,12.898839478492738
2005-07-14,42.32111219975058,A,14.142662048339844,14.33624038696289,14.349524879455567,14.216107177734376,13.530647487640381,13.416207933425904,12.917647018432618
2005-07-15,42.0178706470396,A,13.998421669006348,14.277026557922364,14.307012844085694,14.217435550689697,13.570653800964356,13.40941367149353,12.934955234527587
2005-07-18,41.59659794351056,P,14.021200180053713,14.192763328552246,14.266778659820556,14.217055988311767,13.603676109313964,13.403454494476318,12.952586121559143
2005-07-19,41.138283255320054,P,14.024995803833008,14.113054084777833,14.22274923324585,14.216296768188476,13.629107131958008,13.396850032806396,12.970235986709595
2005-07-20,40.77967740180811,P,14.161641120910645,14.069784164428711,14.217055988311767,14.222749328613281,13.654993629455566,13.39244707107544,12.988701910972596
2005-07-21,40.56214318820618,P,13.876965522766112,14.016644859313965,14.176442623138428,14.217055940628052,13.683309307098389,13.386411981582642,13.006389732360839
2005-07-22,40.95240820035425,P,14.480474472045898,14.113055419921874,14.19504098892212,14.23888120651245,13.731514339447022,13.384703950881958,13.026696548461913
