Date,GRADE,GPS,BAC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2020-01-10,67.29806273318479,P,30.848791122436523,30.939367294311523,31.10986328125,31.149822902679443,30.088890571594238,27.957780952453614,26.594592256546022
2020-01-13,67.27394772139314,P,31.132957458496094,30.976665878295897,31.10187187194824,31.165807151794432,30.139256210327147,28.034146518707274,26.62297801017761
2020-01-14,67.62643500797469,P,31.36383438110352,31.10098533630371,31.11075210571289,31.178239345550537,30.186820793151856,28.1155407333374,26.653739900588988
2020-01-15,67.09062259403231,P,30.78663444519043,31.04770622253418,31.06191234588623,31.15870361328125,30.22337127685547,28.18782890319824,26.680830392837525
2020-01-16,66.6736778459905,A,30.831037521362305,30.992650985717773,30.980217933654785,31.14849157333374,30.253037872314454,28.256349639892576,26.708142900466918
2020-01-17,66.35910357067438,P,30.82215881347656,30.987324523925782,30.96334590911865,31.13739194869995,30.28199710845947,28.3232022857666,26.730611324310303
2020-01-20,65.8500560974988,P,30.82215881347656,30.925164794921876,30.950915336608887,31.11696825027466,30.312369232177733,28.390054931640623,26.75451964378357
2020-01-21,64.85933344748125,P,30.422557830810547,30.736909484863283,30.918947410583495,31.074344539642333,30.336339111328126,28.456947593688966,26.776255445480345
2020-01-22,64.58788969171614,P,30.51135635375977,30.68185386657715,30.864780044555665,31.03616075515747,30.367384033203123,28.52086772918701,26.79778073310852
2020-01-23,64.13079463215327,P,30.29823875427246,30.57529411315918,30.783972549438477,30.97400140762329,30.39575626373291,28.57550298690796,26.81824043273926
2020-01-24,63.23928417280421,P,29.783205032348636,30.367503356933593,30.677413940429688,30.893638610839844,30.409765281677245,28.628432273864746,26.836124963760376
2020-01-27,61.76709545132715,P,29.170486450195312,30.037168884277342,30.48116683959961,30.791519355773925,30.41099002838135,28.667285861968995,26.850858640670776
2020-01-28,60.86700893834807,P,29.51680564880371,29.856018447875975,30.29646396636963,30.70360803604126,30.41949447631836,28.703243885040283,26.867236652374267
2020-01-29,59.79506529791285,P,29.31256675720215,29.616260528564453,30.1490571975708,30.605484771728516,30.42833003997803,28.736187953948974,26.882811622619627
