Date,GRADE,GPS,MOH,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2018-07-23,59.30759130203872,A,106.91999816894533,106.15399932861328,106.03099975585937,102.82399978637696,95.16680023193359,87.88200019836425,82.64335012435913
2018-07-24,59.01756913141879,A,105.93000030517578,106.16599884033204,106.18499984741212,103.14999961853027,95.58380020141601,88.20140022277832,82.86530012130737
2018-07-25,58.72370724162963,A,106.37999725341795,106.19399871826172,106.28399963378907,103.56599960327148,96.01500015258789,88.5177001953125,83.08175010681153
2018-07-26,58.60417795831591,A,106.76000213623048,106.4279998779297,106.27699966430664,103.97799987792969,96.40840026855469,88.83780021667481,83.29735012054444
2018-07-27,58.14520098877271,A,104.66999816894533,106.13199920654297,106.04999923706055,104.31449966430664,96.74980026245117,89.12960021972657,83.49870010375976
2018-07-30,57.353797313517894,P,102.73999786376952,105.2959991455078,105.72499923706054,104.51599960327148,97.0752001953125,89.39890022277832,83.68115009307861
2018-07-31,56.94167617110299,P,104.08999633789062,104.92799835205078,105.5469985961914,104.74599952697754,97.46620010375976,89.67840019226074,83.87040008544922
2018-08-01,59.04305182492964,A,121.94000244140624,108.03999938964844,107.11699905395508,105.86849975585938,98.20720016479493,90.13550018310546,84.14695011138916
2018-08-02,62.11772467372355,A,128.35000610351562,112.35800018310547,109.39300003051758,107.26650009155273,99.0884002685547,90.6603002166748,84.46105014801026
2018-08-03,65.21950548721072,A,126.43000030517578,116.71000061035156,111.42099990844727,108.56399993896484,99.87240020751953,91.15630020141602,84.7575001525879
2018-08-06,68.68539013761222,A,127.08999633789062,121.58000030517579,113.4379997253418,109.73449974060058,100.66960006713867,91.6586001586914,85.0596501159668
2018-08-07,71.30489539846035,A,123.3499984741211,125.43200073242187,115.17999954223633,110.68249969482422,101.39580001831055,92.11330017089844,85.33725009918213
2018-08-08,71.14635433327538,A,126.55999755859376,126.35599975585937,117.1979995727539,111.74099960327149,102.17059997558594,92.5960001373291,85.62915008544923
2018-08-09,69.99721022594616,A,127.75,126.23599853515626,119.29699935913087,112.78699951171875,103.02699996948242,93.1035001373291,85.92290008544921
2018-08-10,69.3709677803043,A,129.00999450683594,126.75199737548829,121.73099899291992,113.89049911499023,103.90359985351563,93.64760009765625,86.17205005645752
2018-08-13,69.16470452239251,A,132.02999877929688,127.73999786376953,124.65999908447266,115.1924991607666,104.8447998046875,94.20130004882813,86.43730003356933
2018-08-14,69.91802294888141,A,133.9199981689453,129.85399780273437,127.64299926757812,116.59499893188476,105.81039978027344,94.76300003051757,86.71925003051757
2018-08-15,70.17571655817102,A,134.00999450683594,131.3439971923828,128.8499984741211,117.98349876403809,106.76279968261719,95.31220001220703,87.0065000152588
2018-08-16,70.22108673929756,A,134.14999389648438,132.62399597167968,129.42999725341798,119.41149864196777,107.71199951171874,95.84189994812012,87.29424999237061
2018-08-17,70.13962631932775,A,134.8300018310547,133.78799743652343,130.26999740600587,120.84549865722656,108.65519958496094,96.37839996337891,87.58389999389648
2018-08-20,69.5495035970698,A,135.8699951171875,134.55599670410157,131.14799728393555,122.29299850463867,109.55579956054687,96.94949989318847,87.87369995117187
2018-08-21,69.00477919150832,A,138.6999969482422,135.51199645996093,132.68299713134766,123.93149833679199,110.42659942626953,97.53879989624023,88.1769499206543
2018-08-22,69.17650652679467,A,139.44000244140625,136.597998046875,133.97099761962892,125.58449859619141,111.29799942016602,98.12599990844727,88.49314994812012
2018-08-23,69.54113403865398,A,139.57000732421875,137.68200073242187,135.1529983520508,127.22499885559083,112.164599609375,98.69509994506836,88.8125
2018-08-24,69.65972639092568,A,138.08999633789062,138.33399963378906,136.06099853515624,128.8959987640381,113.0175994873047,99.26929992675781,89.12899997711182
2018-08-27,69.92703602327714,A,139.67999267578125,139.09599914550782,136.82599792480468,130.74299850463868,113.88039932250976,99.8573998260498,89.45219993591309
2018-08-28,69.63810738001011,A,140.16000366210938,139.38800048828125,137.4499984741211,132.5464988708496,114.74639938354493,100.43799987792968,89.77844993591309
2018-08-29,68.66452783655352,A,138.89999389648438,139.27999877929688,137.93899841308593,133.3944984436035,115.5643992614746,101.01989982604981,90.09564990997315
2018-08-30,67.47171971623932,A,138.33999633789062,139.03399658203125,138.35799865722657,133.89399795532228,116.35759918212891,101.59009979248047,90.41004989624024
2018-08-31,66.4305143051737,A,138.0,139.01599731445313,138.67499847412108,134.47249794006348,117.08799911499024,102.15569976806641,90.72464988708496
2018-09-03,65.1402191121048,A,138.0,138.67999877929688,138.88799896240235,135.01799812316895,117.82439910888672,102.70439979553223,91.03924987792969
2018-09-04,63.96172397238416,A,137.72000122070312,138.19199829101564,138.78999938964844,135.73649826049805,118.5905990600586,103.2347998046875,91.35289989471435
2018-09-05,63.3651266974116,A,137.47999572753906,137.90799865722656,138.59399871826173,136.28249816894532,119.3789990234375,103.75719978332519,91.65344985961914
2018-09-06,63.53895486258852,A,141.0399932861328,138.447998046875,138.74099731445312,136.94699783325194,120.22939895629882,104.3190997314453,91.96744983673096
2018-09-07,63.70475791410075,A,140.6699981689453,138.98199768066405,138.9989974975586,137.5299980163574,121.08399887084961,104.87279968261718,92.28024982452392
2018-09-10,63.82835616768958,A,140.44000244140625,139.46999816894532,139.0749984741211,137.95049819946288,121.91859893798828,105.42409973144531,92.59504981994628
2018-09-11,64.66658366261846,A,145.41000366210938,141.00799865722655,139.5999984741211,138.5249984741211,122.83699905395508,106.03129974365234,92.93954982757569
2018-09-12,65.8832609778279,A,146.52000427246094,142.81600036621094,140.36199951171875,139.15049896240234,123.77759918212891,106.65989974975587,93.30069984436035
2018-09-13,66.95279998003741,A,149.74000549316406,144.55600280761718,141.5020004272461,139.92999954223632,124.76459930419922,107.32129981994629,93.67709987640382
