Date,GRADE,GPS,WAT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1996-06-25,,,7.28125,7.1875,7.08125,7.05625,7.059375,6.4021875,
1996-06-26,,,7.28125,7.21875,7.1,7.059375,7.0575,6.428125,
1996-06-27,,,7.53125,7.2875,7.159375,7.0640625,7.05875,6.4571875,
1996-06-28,,,8.25,7.5125,7.28125,7.1,7.080625,6.4921875,
1996-07-01,,,8.09375,7.6875,7.3875,7.14375,7.103125,6.524375,
1996-07-02,,,7.75,7.78125,7.484375,7.1828125,7.120625,6.5528125,
1996-07-03,,,7.8125,7.8875,7.553125,7.2328125,7.13875,6.581875,
1996-07-04,,,7.8125,7.94375,7.615625,7.2890625,7.15625,6.6125,
1996-07-05,,,7.53125,7.8,7.65625,7.334375,7.169375,6.6396875,
1996-07-08,,,7.25,7.63125,7.659375,7.3546875,7.174375,6.6640625,
1996-07-09,,,7.6875,7.61875,7.7,7.390625,7.18875,6.691875,
1996-07-10,,,7.8125,7.61875,7.753125,7.4265625,7.2075,6.7190625,
1996-07-11,,,7.78125,7.6125,7.778125,7.46875,7.228125,6.7446875,
1996-07-12,,,7.6875,7.64375,7.721875,7.5015625,7.244375,6.77,
1996-07-15,,,7.5,7.69375,7.6625,7.525,7.253125,6.791875,
1996-07-16,,,7.0625,7.56875,7.59375,7.5390625,7.249375,6.810625,
1996-07-17,,,7.03125,7.4125,7.515625,7.534375,7.24875,6.829375,
1996-07-18,,,7.3125,7.31875,7.465625,7.540625,7.255625,6.851875,
1996-07-19,,,7.15625,7.2125,7.428125,7.5421875,7.25875,6.871875,
1996-07-22,,,6.84375,7.08125,7.3875,7.5234375,7.256875,6.8903125,
1996-07-23,,,6.5625,6.98125,7.275,7.4875,7.25125,6.9053125,
1996-07-24,,,6.71875,6.91875,7.165625,7.459375,7.243125,6.92125,
1996-07-25,,,7.1875,6.89375,7.10625,7.4421875,7.245,6.940625,
1996-07-26,,,7.0,6.8625,7.0375,7.3796875,7.245625,6.95875,
1996-07-29,,,7.0,6.89375,6.9875,7.325,7.248125,6.973125,
1996-07-30,,,7.03125,6.9875,6.984375,7.2890625,7.2525,6.9834375,
1996-07-31,,,7.0,7.04375,6.98125,7.2484375,7.249375,6.9934375,
1996-08-01,,,7.25,7.05625,6.975,7.2203125,7.245625,7.0059375,
1996-08-02,,,7.375,7.13125,6.996875,7.2125,7.244375,7.0203125,
1996-08-05,,,7.375,7.20625,7.05,7.21875,7.243125,7.03625,
1996-08-06,,,7.75,7.35,7.16875,7.221875,7.25125,7.0575,
1996-08-07,,,7.75,7.5,7.271875,7.21875,7.261875,7.07625,
1996-08-08,,,7.75,7.6,7.328125,7.2171875,7.268125,7.094375,
1996-08-09,,,7.6875,7.6625,7.396875,7.2171875,7.27125,7.114375,
1996-08-12,,,7.875,7.7625,7.484375,7.2359375,7.284375,7.1346875,
1996-08-13,,,7.75,7.7625,7.55625,7.2703125,7.3,7.1534375,
1996-08-14,,,7.875,7.7875,7.64375,7.3125,7.32125,7.174375,
1996-08-15,,,7.8125,7.8,7.7,7.3375,7.34375,7.1953125,
1996-08-16,,,7.625,7.7875,7.725,7.3609375,7.36375,7.2109375,
1996-08-19,,,7.5,7.7125,7.7375,7.39375,7.376875,7.2196875,
1996-08-20,,,7.25,7.6125,7.6875,7.428125,7.3825,7.2240625,
1996-08-21,,,7.0625,7.45,7.61875,7.4453125,7.381875,7.2275,
1996-08-22,,,7.375,7.3625,7.58125,7.4546875,7.390625,7.23125,6.015
1996-08-23,,,7.6875,7.375,7.58125,7.4890625,7.40375,7.238125,6.03453125
1996-08-26,,,7.6875,7.4125,7.5625,7.5234375,7.416875,7.245,6.05421875
1996-08-27,,,7.96875,7.55625,7.584375,7.5703125,7.440625,7.25375,6.0753125
1996-08-28,,,7.8125,7.70625,7.578125,7.6109375,7.454375,7.2596875,6.095625
1996-08-29,49.11019896675244,A,7.8125,7.79375,7.578125,7.6390625,7.466875,7.2671875,6.1159375
1996-08-30,49.11793828746184,A,7.84375,7.825,7.6,7.6625,7.48125,7.2721875,6.13640625
1996-09-02,49.12938636351945,A,7.84375,7.85625,7.634375,7.6859375,7.49375,7.2778125,6.156875
1996-09-03,49.03809824834995,A,7.6875,7.8,7.678125,7.6828125,7.501875,7.280625,6.17765625
1996-09-04,48.95139857232945,A,7.4375,7.725,7.715625,7.6671875,7.505,7.28125,6.19765625
1996-09-05,48.828535765486,A,7.21875,7.60625,7.7,7.640625,7.49875,7.27875,6.2153125
1996-09-06,48.724401978126885,P,7.40625,7.51875,7.671875,7.6265625,7.481875,7.28125,6.23453125
1996-09-09,48.61619985133069,P,7.40625,7.43125,7.64375,7.603125,7.468125,7.285625,6.25296875
1996-09-10,48.58016376615075,P,7.5625,7.40625,7.603125,7.59375,7.464375,7.2925,6.27203125
1996-09-11,48.57952985215087,P,7.5625,7.43125,7.578125,7.578125,7.459375,7.2990625,6.29078125
1996-09-12,48.67561985250013,P,7.75,7.5375,7.571875,7.575,7.458125,7.3071875,6.3109375
1996-09-13,48.743686093229435,P,7.625,7.58125,7.55,7.575,7.46,7.3146875,6.3303125
1996-09-16,48.79997706396995,P,7.5,7.6,7.515625,7.575,7.465,7.3196875,6.3490625
1996-09-17,48.83318887321087,P,7.59375,7.60625,7.50625,7.5921875,7.463125,7.3259375,6.368125
1996-09-18,48.85393708674591,A,7.53125,7.6,7.515625,7.615625,7.4575,7.3325,6.385625
1996-09-19,48.809413447766964,A,7.4375,7.5375,7.5375,7.61875,7.450625,7.339375,6.401875
1996-09-20,48.765033659558206,P,7.375,7.4875,7.534375,7.603125,7.444375,7.344375,6.4175
1996-09-23,48.736540390436794,A,7.34375,7.45625,7.528125,7.5859375,7.44125,7.3471875,6.4334375
1996-09-24,48.69722076549206,P,7.40625,7.41875,7.5125,7.5578125,7.448125,7.34875,6.44984375
1996-09-25,48.69715623204254,P,7.59375,7.43125,7.515625,7.546875,7.459375,7.3540625,6.46703125
1996-09-26,48.696583802386044,P,7.5,7.44375,7.490625,7.53125,7.463125,7.359375,6.48265625
1996-09-27,48.78235002626099,P,7.875,7.54375,7.515625,7.5328125,7.4775,7.368125,6.5
1996-09-30,48.92661472012667,A,8.1875,7.7125,7.584375,7.55,7.504375,7.380625,6.51890625
1996-10-01,49.027573751262004,A,7.875,7.80625,7.6125,7.559375,7.530625,7.3909375,6.53625
1996-10-02,49.13404126950925,A,8.21875,7.93125,7.68125,7.5984375,7.560625,7.401875,6.55484375
1996-10-03,49.2834167393083,A,8.3125,8.09375,7.76875,7.653125,7.583125,7.4140625,6.5740625
1996-10-04,49.32449230664748,A,8.15625,8.15,7.846875,7.690625,7.60625,7.4259375,6.59203125
1996-10-07,49.31015236564997,A,8.28125,8.16875,7.940625,7.734375,7.631875,7.44,6.610625
1996-10-08,49.3275382503632,A,8.125,8.21875,8.0125,7.7625,7.65375,7.453125,6.62953125
1996-10-09,49.29122036651441,A,8.25,8.225,8.078125,7.796875,7.67875,7.4640625,6.64875
1996-10-10,49.21399399811881,A,8.21875,8.20625,8.15,7.8203125,7.698125,7.471875,6.66703125
1996-10-11,49.17079532903525,A,8.21875,8.21875,8.184375,7.85,7.715,7.4796875,6.6846875
1996-10-14,49.07648163916622,A,8.03125,8.16875,8.16875,7.8765625,7.728125,7.485625,6.7009375
1996-10-15,49.03964487645521,A,8.25,8.19375,8.20625,7.909375,7.738125,7.4946875,6.71859375
1996-10-16,48.968888404553134,A,8.0625,8.15625,8.190625,7.9359375,7.744375,7.503125,6.7359375
1996-10-17,48.94189082508785,A,8.21875,8.15625,8.18125,7.975,7.75375,7.5109375,6.75421875
1996-10-18,48.916166988338716,P,8.125,8.1375,8.178125,8.0125,7.7625,7.516875,6.77296875
1996-10-21,48.94938669312316,A,8.1875,8.16875,8.16875,8.0546875,7.76875,7.5265625,6.79140625
1996-10-22,48.91819671585083,P,8.0625,8.13125,8.1625,8.0875,7.775,7.5375,6.80953125
1996-10-23,48.91576216176437,P,7.96875,8.1125,8.134375,8.10625,7.776875,7.5490625,6.8275
1996-10-24,48.899077120031855,P,8.03125,8.075,8.115625,8.1328125,7.78125,7.5625,6.84546875
1996-10-25,48.86053049078857,P,7.875,8.025,8.08125,8.1328125,7.78625,7.575,6.86140625
1996-10-28,48.743731935525425,P,7.5,7.8875,8.028125,8.0984375,7.78625,7.5815625,6.87515625
1996-10-29,48.68461376806795,P,7.6875,7.8125,7.971875,8.0890625,7.795,7.58875,6.8896875
