Date,GRADE,GPS,C,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2006-11-01,65.40497816911277,A,345.0431823730469,346.5723937988281,346.6963836669922,347.37489166259763,343.3706451416016,336.4489584350586,330.1058654785156
2006-11-02,64.65174838243423,P,346.0171813964844,345.747705078125,346.9453369140625,347.1136138916016,343.57886779785156,336.58955078125,330.2663287353516
2006-11-03,64.21687556451091,P,344.9734802246094,345.3618103027344,347.06235961914064,346.77948303222655,343.7772393798828,336.74152740478513,330.4262480163574
2006-11-06,64.58727478894117,P,349.3562316894531,346.18309326171874,347.1285705566406,346.65416412353517,343.99713623046875,336.97415740966795,330.60975067138673
2006-11-07,65.1155083543395,P,351.1649169921875,347.3109985351563,347.47899169921874,346.7088256835938,344.2339184570312,337.211916809082,330.8103102111816
2006-11-08,66.0164520849312,A,351.7908630371094,348.66053466796876,347.61646423339846,346.94632720947266,344.44739990234376,337.43138610839844,331.02234649658203
2006-11-09,66.9652509794369,A,352.0691223144531,349.8709228515625,347.80931396484374,347.2666290283203,344.6898681640625,337.6672769165039,331.2580461120605
2006-11-10,68.07059196538643,A,352.2082824707031,351.31788330078126,348.3398468017578,347.5250015258789,344.93236267089844,337.93388275146486,331.4984907531738
2006-11-13,68.58603110372677,A,352.6257629394531,351.97178955078124,349.07744140625,347.88346710205076,345.1832067871094,338.1664743041992,331.737311706543
2006-11-14,68.85794798741513,A,353.0431823730469,352.3474426269531,349.8292205810547,348.29724578857423,345.4355126953125,338.44006286621095,331.9822685241699
2006-11-15,68.81178012739075,A,351.0952453613281,352.20831909179685,350.43442687988284,348.5654052734375,345.6888153076172,338.68803466796874,332.2070246887207
2006-11-16,68.77951781939073,A,352.41705322265625,352.2779052734375,351.0744140625,349.00987548828124,346.04845825195315,338.8803521728516,332.42387893676755
2006-11-17,68.74482289017664,A,353.3909606933594,352.5144409179687,351.916162109375,349.4892608642578,346.40415649414064,339.1240054321289,332.6398657226562
2006-11-20,68.40961869044266,A,352.9039001464844,352.570068359375,352.27092895507815,349.6997497558594,346.7225610351563,339.3136907958984,332.8628665161133
2006-11-21,67.83331054890779,A,352.0691223144531,352.37525634765626,352.36134948730466,349.92017059326173,347.0146258544922,339.49502838134765,333.06684494018555
2006-11-22,67.64467017289248,A,353.1822814941406,352.79266357421875,352.5004913330078,350.0584777832031,347.28624572753904,339.68476837158204,333.2720022583008
