Date,GRADE,GPS,AAPL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2017-04-03,47.83094558984967,A,33.451568603515625,33.484622955322266,33.123566436767575,32.823502731323245,31.549252738952635,29.0871750831604,26.971277437210084
2017-04-04,47.8045813442369,A,33.70063400268555,33.52977981567383,33.23832893371582,32.88460845947266,31.667126274108888,29.175919094085693,27.03245339393616
2017-04-05,47.72361998819982,A,33.52605056762695,33.525122833251956,33.29885330200195,32.943037796020505,31.77265411376953,29.256241970062256,27.09182753562927
2017-04-06,47.600152874218985,A,33.442256927490234,33.51255340576172,33.36263847351074,33.00100231170654,31.876227798461915,29.335819606781005,27.14940658569336
2017-04-07,47.456026072856666,A,33.36776351928711,33.49765472412109,33.42549171447754,33.04988803863525,31.978265266418457,29.41439733505249,27.206280584335328
2017-04-10,47.27936898632086,A,33.32818603515625,33.47297821044922,33.47880058288574,33.09609680175781,32.08099472045898,29.488708572387694,27.26295669555664
2017-04-11,46.8795385442345,A,32.969696044921875,33.32679061889648,33.42828521728516,33.126824951171876,32.1778524017334,29.559272594451905,27.318872451782227
2017-04-12,46.55889697582196,A,33.00926971435547,33.22343444824219,33.37427864074707,33.14242172241211,32.24119762420654,29.63155355453491,27.37436683654785
2017-04-13,46.20379344662439,P,32.83466339111328,33.101915740966795,33.307234573364255,33.14661140441895,32.30207054138184,29.7020884513855,27.428517990112304
2017-04-14,45.881731746483375,P,32.83466339111328,32.995295715332034,33.24647521972656,33.15894813537598,32.36039405822754,29.77132526397705,27.481820526123048
2017-04-17,45.6241590315183,P,33.01625442504883,32.932909393310545,33.20294380187988,33.16325511932373,32.41674011230469,29.842888011932374,27.535686979293825
2017-04-18,45.539791586060886,P,32.86959457397461,32.912889099121095,33.11983985900879,33.179084396362306,32.4644047164917,29.913239135742188,27.588315582275392
2017-04-19,45.46194835061947,P,32.7485466003418,32.86074447631836,33.04208946228027,33.170471382141116,32.50728420257568,29.98455852508545,27.640969638824462
2017-04-20,45.596988529299715,P,33.15824890136719,32.92546157836914,33.01368865966797,33.18816356658935,32.55393486022949,30.062362251281737,27.693470401763918
2017-04-21,45.71824847708549,P,33.118682861328125,32.98226547241211,32.98878059387207,33.207136154174805,32.60119079589844,30.138819961547853,27.7457848072052
2017-04-24,45.88592249938129,A,33.437591552734375,33.066532897949216,32.999721145629884,33.239260864257815,32.64937786102295,30.22029790878296,27.79848964691162
2017-04-25,46.13126823720444,A,33.64478302001953,33.221570587158205,33.06722984313965,33.247757530212404,32.69365413665771,30.301900806427003,27.852184581756593
2017-04-26,46.34778240903597,A,33.44690704345703,33.36124267578125,33.11099357604981,33.242636108398436,32.73169136047363,30.379021682739257,27.904786911010742
2017-04-27,46.38450035620503,A,33.4725227355957,33.42409744262695,33.17477951049805,33.241007041931155,32.770985984802245,30.453872280120848,27.958125104904173
2017-04-28,46.41013288783329,A,33.439910888671875,33.4883430480957,33.235304260253905,33.24088973999024,32.807905769348146,30.524155101776124,28.012183246612548
2017-05-01,46.55359073621826,A,34.12199401855469,33.625223541259764,33.345878219604494,33.274411010742185,32.8584672164917,30.602765350341798,28.071165561676025
2017-05-02,46.67546940988626,A,34.338470458984375,33.76396102905274,33.49276580810547,33.306302833557126,32.908795547485354,30.67915967941284,28.13199861526489
2017-05-03,46.83614638160589,A,34.23373031616211,33.92132568359375,33.6412841796875,33.34168682098389,32.95512027740479,30.754506607055664,28.185106201171877
2017-05-04,46.93183474725524,A,34.110355377197266,34.048892211914065,33.736494827270505,33.37509174346924,33.001677932739256,30.827159576416015,28.23600287437439
2017-05-05,47.24674641929109,A,34.676025390625,34.29611511230469,33.892229080200195,33.44050483703613,33.05894344329834,30.905121555328368,28.289876985549927
2017-05-08,47.57364566840503,A,35.61881637573242,34.595479583740236,34.1103515625,33.55503635406494,33.13380798339844,30.990958557128906,28.346354932785033
2017-05-09,47.935769136369316,A,35.846954345703125,34.897176361083986,34.33056869506836,33.698899269104004,33.212955932617184,31.07835838317871,28.40577404975891
2017-05-10,48.270788558117204,A,35.67702102661133,35.18583450317383,34.553580093383786,33.8322868347168,33.27566879272461,31.163803844451905,28.462841205596924
2017-05-11,48.824976948253976,A,35.985557556152344,35.560874938964844,34.804883575439455,33.98983154296875,33.34841682434082,31.254119415283203,28.520701580047607
