Date,GRADE,GPS,CRWD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2023-09-13,65.57902949146624,A,168.47000122070312,169.03399658203125,166.23199615478515,157.4239974975586,153.77919982910157,148.36299995422362,132.7636249923706
2023-09-14,65.75446852083526,A,170.72999572753906,169.85199584960938,167.0019958496094,158.74149703979492,154.3215997314453,148.80979988098144,133.04607498168946
2023-09-15,65.45158249707664,A,165.4499969482422,169.3239959716797,167.4239959716797,159.67399673461915,154.749599609375,149.26379981994629,133.2979249572754
2023-09-18,64.48531853935019,A,166.97000122070312,168.25999755859374,167.99799652099608,160.32749710083007,155.08999969482423,149.74559982299806,133.54007495880126
2023-09-19,63.580532609074986,A,165.5,167.4239990234375,168.00499725341797,160.98599700927736,155.38419982910156,150.23319984436034,133.76262496948243
2023-09-20,62.748246546116775,A,163.88999938964844,166.50799865722655,167.7709976196289,161.48999710083007,155.7393997192383,150.69539985656738,133.97922496795655
2023-09-21,61.83185318648475,A,162.52999877929688,164.8679992675781,167.35999755859376,162.3439971923828,155.97499969482422,151.14189987182618,134.21692497253417
2023-09-22,61.40339433766059,P,162.57000732421875,164.29200134277343,166.80799865722656,162.993497467041,156.2383999633789,151.54309997558593,134.47227500915528
2023-09-25,60.73335118404773,P,159.9199981689453,162.8820007324219,165.5709991455078,163.78799743652343,156.38220001220702,151.8181999206543,134.73142501831055
2023-09-26,60.297794074707745,P,160.47999572753906,161.87799987792968,164.6509994506836,164.47699737548828,156.53279998779297,152.12359985351563,134.98467498779297
2023-09-27,60.11922273020912,P,163.0399932861328,161.70799865722657,164.10799865722657,165.16999740600585,156.64139984130858,152.4159997558594,135.26312496185304
2023-09-28,60.1958545967175,P,165.25,162.2519989013672,163.55999908447265,165.280997467041,156.9849996948242,152.74699981689454,135.5695249557495
2023-09-29,60.5466548551903,P,167.3800048828125,163.21399841308593,163.75299987792968,165.5884979248047,157.31459991455077,153.11849990844726,135.89647499084472
