Date,GRADE,GPS,INVH,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2017-09-01,,,19.608613967895508,19.372573471069337,19.417251968383788,19.086754035949706,18.465555114746095,18.264890632629395,
2017-09-04,,,19.608613967895508,19.44338607788086,19.41387939453125,19.180642318725585,18.494207191467286,18.279468612670897,
2017-09-05,,,19.330419540405277,19.488907241821288,19.39533309936524,19.272379684448243,18.51847122192383,18.290427074432372,
2017-09-06,,,19.05222511291504,19.42146530151367,19.345595169067384,19.34348793029785,18.537171363830566,18.298771095275878,
2017-09-07,,,18.816177368164062,19.283209991455077,19.296700096130373,19.368356704711914,18.555686264038087,18.30693241119385,
2017-09-08,,,18.824613571166992,19.126409912109374,19.249491691589355,19.385638809204103,18.568826293945314,18.31375421524048,
2017-09-11,,,19.313560485839844,19.06739921569824,19.255392646789552,19.38184509277344,18.59090530395508,18.325632972717287,
2017-09-12,,,19.01007461547852,19.00333023071289,19.24611873626709,19.36540632247925,18.606914596557615,18.33380681991577,
2017-09-13,,,18.70659065246582,18.934203338623046,19.17783432006836,19.316511344909667,18.616686325073243,18.339280834197996,
2017-09-14,,,18.69816017150879,18.91059989929199,19.096904945373534,19.2596076965332,18.633008728027345,18.3454243850708,
2017-09-15,,,18.883628845214844,18.922402954101564,19.02440643310547,19.220829200744628,18.650352706909178,18.353757610321043,
2017-09-18,,,19.128097534179688,18.88531036376953,18.976354789733886,19.19511709213257,18.672922096252442,18.36344669342041,
2017-09-19,,,19.389434814453125,18.961182403564454,18.98225631713867,19.188794708251955,18.700382194519044,18.377089309692384,
2017-09-20,,,18.94263458251953,19.008391189575196,18.97129726409912,19.15844621658325,18.71823444366455,18.386598987579347,
2017-09-21,,,19.02693748474121,19.07414665222168,18.992373275756837,19.144536685943603,18.737772750854493,18.39929693222046,
2017-09-22,,,18.6728630065918,19.03199348449707,18.977198219299318,19.113344955444337,18.749389610290528,18.407867794036864,
2017-09-25,,,18.96792221069336,18.999958419799803,18.94263439178467,19.09901351928711,18.76539581298828,18.419305515289306,
2017-09-26,,,18.9342041015625,18.90891227722168,18.935047340393066,19.090583038330077,18.7832474899292,18.428982124328613,
2017-09-27,,,19.102813720703125,18.9409481048584,18.974669647216796,19.076251983642578,18.80111156463623,18.438502101898194,
2017-09-28,,,18.908910751342773,18.917342758178712,18.995744705200195,19.046324825286867,18.815601501464844,18.443647270202636,
2017-09-29,,,19.09437561035156,19.001645278930663,19.016819381713866,19.020612907409667,18.832288932800292,18.451571006774902,
2017-10-02,,,19.38099670410156,19.0842601776123,19.042109298706055,19.00923204421997,18.854204864501952,18.461437034606934,
2017-10-03,,,19.0775146484375,19.112922286987303,19.010917282104494,18.996586799621582,18.872234954833985,18.472719860076904,
2017-10-04,,,19.23768615722656,19.13989677429199,19.040422439575195,19.005859851837158,18.896996116638185,18.48417652130127,
2017-10-05,,,19.16181755065918,19.19047813415527,19.05391044616699,19.023141860961914,18.92292766571045,18.49395055770874,
2017-10-06,,,18.849903106689453,19.14158363342285,19.071614456176757,19.024406337738036,18.94161308288574,18.499513568878175,
2017-10-09,,,18.90048217773437,19.045480728149414,19.064870452880857,19.003752422332763,18.961477966308593,18.50650629043579,
2017-10-10,,,19.128097534179688,19.05559730529785,19.084259796142575,19.009653568267822,18.983375549316406,18.516699066162108,
2017-10-11,,,19.085947036743164,19.025249481201172,19.082573127746578,19.02862138748169,19.008965606689454,18.525798435211183,
2017-10-12,,,19.06065368652344,19.005016708374022,19.09774742126465,19.046746063232423,19.03606575012207,18.53834053039551,
2017-10-13,,,19.0775146484375,19.050539016723633,19.096061325073244,19.056440353393555,19.0621590423584,18.551051235198976,
2017-10-16,,,19.085947036743164,19.08763198852539,19.0665563583374,19.05433282852173,19.089261016845704,18.563846263885498,
2017-10-17,,,19.09437561035156,19.080887603759766,19.068242454528807,19.03957986831665,19.12123508453369,18.575381679534914,
2017-10-18,,,19.2208309173584,19.107864379882812,19.066556930541992,19.053489685058594,19.1530504989624,18.586837787628173,
2017-10-19,,,19.170249938964844,19.129783630371094,19.067400169372558,19.060655307769775,19.17007946014404,18.596444187164305,
2017-10-20,,,19.321990966796875,19.178678894042967,19.1146089553833,19.09311170578003,19.186939849853516,18.605468196868898,
2017-10-23,,,19.169721603393555,19.195433807373046,19.14153289794922,19.10320167541504,19.182545585632326,18.615909252166748,
2017-10-24,,,19.186634063720703,19.213885498046874,19.14738655090332,19.115823173522948,19.17950126647949,18.627023391723633,
2017-10-25,,,19.296615600585938,19.22904243469238,19.168453407287597,19.12551326751709,19.17174377441406,18.64108522415161,
2017-10-26,,,19.245851516723636,19.24416275024414,19.18697319030762,19.142360305786134,19.159936141967773,18.655647296905517,
2017-10-27,,,19.423507690429688,19.264466094970704,19.221572494506837,19.15881690979004,19.15522232055664,18.67013813018799,
2017-10-30,,,19.34737205505371,19.299996185302735,19.24771499633789,19.157135677337646,19.149322967529297,18.683447551727294,
2017-10-31,,,19.093578338623047,19.281385040283205,19.247635269165038,19.157938861846922,19.14087688446045,18.69455503463745,
2017-11-01,,,19.161256790161133,19.254313278198243,19.241677856445314,19.154117393493653,19.1331099319458,18.705583419799805,
2017-11-02,,,19.634998321533203,19.332142639160157,19.28815269470215,19.177776432037355,19.139707336425783,18.721685161590575,
2017-11-03,,,19.321992874145508,19.31183967590332,19.28815288543701,19.201380920410156,19.140213241577147,18.73658866882324,
2017-11-06,,,19.558862686157227,19.354137802124022,19.32706699371338,19.2342999458313,19.146299476623536,18.750669136047364,
2017-11-07,,,19.626543045043945,19.460730743408202,19.3710578918457,19.25922222137451,19.15677406311035,18.767442245483398,18.372780637741087
2017-11-08,,,19.592700958251957,19.54701957702637,19.400666427612308,19.28455991744995,19.16083938598633,18.784548854827882,18.386984033584596
2017-11-09,,,19.71113586425781,19.56224708557129,19.447194862365723,19.31708402633667,19.164913024902344,18.80157995223999,18.40081639289856
2017-11-10,,,20.07490348815918,19.712829208374025,19.512334442138673,19.366953468322755,19.174238815307618,18.819896965026857,18.414792385101318
2017-11-13,,,19.939552307128903,19.78896713256836,19.571552467346187,19.409633731842042,19.180857582092287,18.837532386779785,18.427672805786134
2017-11-14,66.72102446582043,A,19.880332946777344,19.83972511291504,19.65022792816162,19.44893159866333,19.191855850219728,18.855163536071778,18.439963970184326
2017-11-15,66.34132064992312,A,19.46580696105957,19.814346313476562,19.680682945251466,19.461180400848388,19.200127487182616,18.868649425506593,18.45001498222351
2017-11-16,66.14392165569227,A,19.61807632446289,19.795734405517578,19.678990745544432,19.48357172012329,19.216165466308595,18.88592586517334,18.46065981864929
2017-11-17,64.9890030289865,A,19.30506896972656,19.641767501831055,19.67729835510254,19.482725620269775,19.225774574279786,18.897300434112548,18.46915328979492
2017-11-20,64.00351098827731,A,19.30506896972656,19.51487083435058,19.651918983459474,19.489492988586427,19.22560474395752,18.9082550239563,18.47773055076599
2017-11-21,63.64376259521973,A,19.770353317260746,19.492874908447266,19.66630001068115,19.51867895126343,19.240810317993166,18.92386245727539,18.488508567810058
