Date,GRADE,GPS,TFC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2003-04-21,60.7920583847883,C,14.454891204833984,14.527069473266602,14.514887523651122,14.461466217041016,14.481727695465088,15.329285516738892,15.65628116607666
2003-04-22,60.92595813581796,C,14.793251991271973,14.548726081848145,14.537446212768554,14.472745561599732,14.491604900360107,15.310057506561279,15.651976299285888
2003-04-23,61.29222134995077,C,14.739106178283691,14.608277130126954,14.578951454162597,14.490036535263062,14.502366676330567,15.290820531845092,15.647224750518799
2003-04-24,61.60537261209995,C,14.680466651916504,14.638956832885743,14.594291305541992,14.506183767318726,14.51177682876587,15.272772178649902,15.646116685867309
2003-04-25,61.82039239497963,C,14.572185516357422,14.647980308532714,14.601058673858642,14.517364168167115,14.511956577301026,15.251644134521484,15.645830726623535
2003-04-28,62.28862874394321,C,14.793251991271973,14.715652465820312,14.621360969543456,14.5543532371521,14.516557655334474,15.234058046340943,15.647903666496276
2003-04-29,62.33334865642982,C,14.78873062133789,14.714748191833497,14.63173713684082,14.578149604797364,14.518117256164551,15.213542337417602,15.651075630187988
2003-04-30,62.19947095634273,A,14.707528114318848,14.708432579040528,14.65835485458374,14.586036682128906,14.519751834869385,15.190972118377685,15.650388755798339
2003-05-01,62.190669154629184,A,14.8203125,14.736401748657226,14.687679290771484,14.609176206588746,14.525072898864746,15.171038513183595,15.649012250900268
2003-05-02,62.506784265730346,A,15.154166221618652,14.852797889709473,14.750389099121094,14.636488914489746,14.53429880142212,15.154620885848999,15.647589569091798
2003-05-05,62.396184625555584,C,14.991753578186035,14.892498207092284,14.804075336456298,14.659481430053711,14.546625728607177,15.13533660888672,15.64177008152008
2003-05-06,62.41843269140816,C,15.03686809539795,14.942125701904297,14.828436946868896,14.682941579818726,14.555294189453125,15.117524156570434,15.637341756820678
2003-05-07,62.508400772533484,C,14.924087524414062,14.98543758392334,14.846935081481934,14.712943267822265,14.564926433563233,15.10027003288269,15.630546112060546
2003-05-08,62.25753924646741,C,14.689480781555176,14.959271240234376,14.8478364944458,14.721063899993897,14.564679851531983,15.08151309967041,15.623061308860779
2003-05-09,61.92148916289177,C,14.928586959838867,14.914155387878418,14.883476638793946,14.742267656326295,14.569662418365478,15.063150367736817,15.617937631607056
2003-05-12,61.96484748502467,C,15.091007232666016,14.934006118774414,14.91325216293335,14.767306566238403,14.580665702819823,15.047210540771484,15.61688097000122
2003-05-13,61.96039244200074,C,15.045890808105469,14.935810661315918,14.938968181610107,14.785352659225463,14.594969749450684,15.031485195159911,15.613223528862
2003-05-14,61.92834257954197,C,14.946635246276855,14.940320205688476,14.962878894805907,14.810616874694825,14.602459678649902,15.014767293930054,15.607772264480591
2003-05-15,62.098040188749756,C,14.915061950683594,14.98543643951416,14.972353839874268,14.830016565322875,14.610480575561523,14.997866811752319,15.599655990600587
2003-05-16,62.01373923184593,C,14.878962516784668,14.97551155090332,14.944833469390868,14.847611284255981,14.614291820526123,14.983090286254884,15.591447167396545
2003-05-19,61.556235495559456,B,14.590229034423828,14.875355911254882,14.90468101501465,14.854378175735473,14.621181774139405,14.964450149536132,15.582146544456482
2003-05-20,61.18766385893906,B,14.612791061401367,14.788735961914062,14.86227331161499,14.845355129241943,14.633172969818116,14.94643503189087,15.573926386833191
2003-05-21,60.9682699732092,B,14.707528114318848,14.74091453552246,14.840617370605468,14.843776226043701,14.648758163452149,14.92936728477478,15.564024724960326
