Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-06-19,26.755274691683464,26.82405428984137,20.909006646609857,22.14703941345215,21705854.0,0.0,0.0
2000-06-20,20.427542152868366,20.771440020650605,19.32706897596521,20.152423858642578,26062612.0,0.0,0.0
2000-06-21,19.9460871651571,20.3587646484375,19.39585052078323,20.3587646484375,13739374.0,0.0,0.0
2000-06-22,20.3587628214523,20.633881118950253,18.983171333962524,19.25828742980957,16582867.0,0.0,0.0
2000-06-23,19.32706681808496,19.499015732777863,18.84560765529419,19.086336135864258,8643868.0,0.0,0.0
2000-06-26,19.18949782020347,19.223889791056195,18.43292399856313,18.845600128173828,8752954.0,0.0,0.0
2000-06-27,18.57048336056373,19.017550393569252,18.19219697192248,18.295366287231445,8495027.0,0.0,0.0
2000-06-28,18.364148863411522,19.120725068109287,17.676352213611267,18.75963020324707,11424112.0,0.0,0.0
2000-06-29,18.36414473653012,19.120720771206376,18.15780501738212,18.57048225402832,5854393.0,0.0,0.0
2000-06-30,18.879994604850438,19.120723021221572,18.364146897515845,18.536094665527344,5598354.0,0.0,0.0
2000-07-03,18.811221501621578,19.08633758435861,18.501711230034456,18.91438865661621,2090165.0,0.0,0.0
2000-07-04,18.811221501621578,19.08633758435861,18.501711230034456,18.91438865661621,2090165.0,0.0,0.0
2000-07-05,18.983164451526687,19.258280447629133,18.50170540380961,18.708044052124023,4948029.0,0.0,0.0
2000-07-06,18.708050834813662,19.25828742980957,18.501712111690196,19.25828742980957,5909776.0,0.0,0.0
2000-07-07,19.017550851070443,19.258279259249186,18.639265554153827,19.051942825317383,6014037.0,0.0,0.0
2000-07-10,19.25828742980957,19.567797716145677,18.43293363814116,19.25828742980957,12409774.0,0.0,0.0
2000-07-11,19.22389873694161,19.80852508544922,19.189506750084497,19.80852508544922,10773787.0,0.0,0.0
2000-07-12,19.533395784860218,20.04924227196221,19.499006019053418,19.774124145507812,7190706.0,0.0,0.0
2000-07-13,19.636569421692926,20.152416022789936,19.60217964828646,19.70534896850586,4417070.0,0.0,0.0
2000-07-14,19.877290725708008,20.28996785897675,19.430221629684297,19.877290725708008,4531087.0,0.0,0.0
2000-07-17,20.56509611528653,20.771434783935547,20.11802899988033,20.771434783935547,5723384.0,0.0,0.0
2000-07-18,20.63387969009929,20.73704904451677,20.049253348400224,20.289981842041016,5264276.0,0.0,0.0
2000-07-19,20.358763769619696,20.496322924775207,19.98047609294204,20.461933135986328,5417417.0,0.0,0.0
2000-07-20,20.771437865906073,20.771437865906073,19.705354586372284,19.946083068847656,4948344.0,0.0,0.0
2000-07-21,19.53340492177747,19.70535383124204,19.1207275390625,19.1207275390625,5908622.0,0.0,0.0
2000-07-24,19.327065284071146,20.083640448669588,19.258283522002642,19.464624404907227,5644506.0,0.0,0.0
2000-07-25,20.083646617187075,20.530713897217165,19.842918081786255,20.32437515258789,5201761.0,0.0,0.0
2000-07-26,19.877310783837057,19.98048017126213,19.25829225763514,19.32707405090332,5879147.0,0.0,0.0
2000-07-27,19.533398235659696,19.602177775902867,18.94876994194293,19.22389030456543,3594619.0,0.0,0.0
2000-07-28,19.15511199577543,19.189499566457926,18.157806396484375,18.157806396484375,6141690.0,0.0,0.0
2000-07-31,18.639266704335995,19.086331574033785,18.3985360796524,18.708044052124023,4055091.0,0.0,0.0
2000-08-01,18.7080434964281,18.91438213861352,18.432926407672564,18.776823043823242,2009609.0,0.0,0.0
2000-08-02,18.776820872351422,19.017549260395036,18.536092484307805,18.57048225402832,3911600.0,0.0,0.0
2000-08-03,18.708050017156918,18.742439802841115,18.226593017578125,18.226593017578125,3252674.0,0.0,0.0
2000-08-04,18.77682640640546,18.77682640640546,18.295370589244676,18.46731948852539,3623569.0,0.0,0.0
2000-08-07,18.467318606434457,19.80852105758676,18.32975949358039,19.602182388305664,5704294.0,0.0,0.0
2000-08-08,19.739744369583054,20.01486263526919,19.39584653747538,19.946083068847656,5718874.0,0.0,0.0
2000-08-09,20.289975116415803,20.358754663228737,19.499010328067058,19.70534896850586,5424444.0,0.0,0.0
2000-08-10,19.87730312961269,19.980472477309977,19.43023375460718,19.533405303955078,3522768.0,0.0,0.0
2000-08-11,19.120735276053168,19.80853119222034,19.120735276053168,19.32707405090332,5023026.0,0.0,0.0
2000-08-14,19.32706613563414,19.395845699082653,19.01755589846528,19.3614559173584,3711677.0,0.0,0.0
2000-08-15,19.395844844489186,19.911691547624486,19.223895943444084,19.464624404907227,3405081.0,0.0,0.0
2000-08-16,19.395752588124118,19.499473142853905,18.808000564575195,18.808000564575195,3447457.0,0.179233,0.0
2000-08-17,19.084587924291643,19.499470078001192,18.84257112121463,18.980867385864258,5670204.0,0.0,0.0
2000-08-18,19.776056733060667,19.776056733060667,19.430323804990977,19.603191375732422,3673602.0,0.0,0.0
2000-08-21,20.121812905552204,20.467548370361328,19.948945173147642,20.467548370361328,4012610.0,0.0,0.0
2000-08-22,20.674967715924662,21.885040559034284,20.571247186515265,21.366437911987305,7403635.0,0.0,0.0
2000-08-23,21.36644141045582,21.50473547231215,20.951559224886836,21.089853286743164,4366617.0,0.0,0.0
2000-08-24,21.159003275550045,22.12706184387207,20.225518227525235,22.12706184387207,6831349.0,0.0,0.0
2000-08-25,22.196212653254378,22.611094967265565,21.919624443913587,22.057918548583984,5888273.0,0.0,0.0
2000-08-28,22.12706127451067,22.299928871548612,21.573884963989258,21.573884963989258,3732970.0,0.0,0.0
2000-08-29,21.29729645171855,21.504737564686714,21.020708301094338,21.2281494140625,3669826.0,0.0,0.0
2000-08-30,21.29728779089542,22.299919429174814,21.29728779089542,21.8504638671875,4359275.0,0.0,0.0
2000-08-31,21.8504691709088,22.092483763030305,21.331866473505563,21.50473403930664,4084355.0,0.0,0.0
2000-09-01,21.50475227179674,21.9196347814714,21.50475227179674,21.815914154052734,2651438.0,0.0,0.0
2000-09-04,21.50475227179674,21.9196347814714,21.50475227179674,21.815914154052734,2651438.0,0.0,0.0
2000-09-05,21.85046975287988,22.230778407771492,21.643028668393548,21.9887638092041,2919749.0,0.0,0.0
2000-09-06,22.196213105993206,23.095124804685987,22.161639579120404,22.611095428466797,4677934.0,0.0,0.0
2000-09-07,22.265346874475135,22.265346874475135,21.158994674682617,21.158994674682617,6748800.0,0.0,0.0
2000-09-08,20.467536307935713,20.67497746456693,19.361181259155273,19.361181259155273,8236680.0,0.0,0.0
2000-09-11,20.190949466548386,20.709552393249375,20.12180240965492,20.225522994995117,3758144.0,0.0,0.0
2000-09-12,20.225533544994942,20.467548370361328,19.77607522732781,20.467548370361328,4697444.0,0.0,0.0
2000-09-13,20.467535264126212,21.262726323992478,20.39838821544219,20.744123458862305,5394341.0,0.0,0.0
2000-09-14,20.744122537374466,21.124431288242654,20.640401968955867,20.778696060180664,3825694.0,0.0,0.0
2000-09-15,20.81327196815706,20.951566075230158,20.121801432791578,20.190948486328125,4108690.0,0.0,0.0
2000-09-18,20.26009159837427,20.46753271862738,19.637768237614953,19.776060104370117,3380956.0,0.0,0.0
2000-09-19,19.499479597483717,19.91436195373535,18.94630090906734,19.91436195373535,4096103.0,0.0,0.0
2000-09-20,19.499477576990046,19.7760635724177,19.119166576418856,19.361181259155273,2827026.0,0.0,0.0
2000-09-21,19.637767791748047,19.983502984320122,19.60319427249084,19.637767791748047,2680702.0,0.0,0.0
2000-09-22,19.74148786882491,20.156370089809236,19.568620276748103,20.087223052978516,1929367.0,0.0,0.0
2000-09-25,20.087216762072234,20.260084300010455,19.395746610319357,19.672334671020508,2362253.0,0.0,0.0
2000-09-26,19.637767096786668,19.94892875908983,19.43032598858456,19.87978172302246,1892446.0,0.0,0.0
2000-09-27,19.845212778610488,19.94893335661548,19.119166519161606,19.292034149169922,2984152.0,0.0,0.0
2000-09-28,19.326607546813722,20.260092635749846,19.257460503188828,20.1563720703125,3043311.0,0.0,0.0
2000-09-29,20.121799081827863,20.398387263658417,19.568622718166754,19.70691680908203,2443963.0,0.0,0.0
2000-10-02,19.91436195373535,20.15637666154881,19.499479597483717,19.91436195373535,3114322.0,0.0,0.0
2000-10-03,19.845214438171336,20.882420304957822,19.741493851492685,20.571258544921875,4229210.0,0.0,0.0
2000-10-04,20.502097769835494,21.60844995418274,20.502097769835494,20.951553344726562,3580668.0,0.0,0.0
2000-10-05,21.08986024106395,21.124433767928554,20.22552206944887,20.260095596313477,3394696.0,0.0,0.0
2000-10-06,20.53668375401087,20.81327196815706,20.018080852486754,20.190948486328125,2561756.0,0.0,0.0
2000-10-09,20.398385083871005,20.467532121939538,19.983502855459815,20.432958602905273,1633574.0,0.0,0.0
2000-10-10,20.43296024481209,20.571254332061887,20.1563720703125,20.1563720703125,2448788.0,0.0,0.0
2000-10-11,20.190947321116425,20.744123717485216,19.91435912293203,19.948932647705078,3636156.0,0.0,0.0
2000-10-12,19.914359890252474,20.018080468568083,19.084595263727614,19.361181259155273,3600493.0,0.0,0.0
2000-10-13,19.153738021850586,19.499473205392043,18.946294698312247,19.153738021850586,3696678.0,0.0,0.0
2000-10-16,19.603195392985416,19.914357084085903,19.292031488471274,19.810636520385742,4503710.0,0.0,0.0
2000-10-17,19.499473571777344,19.6377676477924,19.18830968732995,19.499473571777344,5009390.0,0.0,0.0
2000-10-18,18.80799749156057,19.292026667881338,18.462263472323713,18.635129928588867,3798947.0,0.0,0.0
2000-10-19,18.70428435586091,20.329242304273208,18.70428435586091,19.845212936401367,9649039.0,0.0,0.0
2000-10-20,22.680232364414728,26.414173814355745,21.85046808963073,25.446115493774414,29109489.0,0.0,0.0
2000-10-23,27.65880674044134,28.211982653908972,27.036483837790254,27.62423324584961,50419904.0,0.0,0.0
2000-10-24,27.797110984225586,29.49121284484863,27.58966994006766,29.491212844848633,27313334.0,0.0,0.0
2000-10-25,29.04177080909755,29.59494718513619,28.62688852706857,28.90347671508789,18368638.0,0.0,0.0
2000-10-26,28.76517973895728,29.214635499455554,28.142856378267364,28.868900299072266,8878824.0,0.0,0.0
2000-10-27,28.868902808657793,29.249211562139802,28.246579393869048,28.48859405517578,9838892.0,0.0,0.0
2000-10-30,28.488582364645325,29.73322868347168,28.488582364645325,29.73322868347168,9279823.0,0.0,0.0
2000-10-31,29.352922650895252,29.94067456622245,29.352922650895252,29.767807006835938,6819182.0,0.0,0.0
2000-11-01,29.249195606960946,29.906092186462203,29.249195606960946,29.59493064880371,7405943.0,0.0,0.0
2000-11-02,29.387502092052042,29.59494320516958,28.834325790405273,28.834325790405273,8127384.0,0.0,0.0
2000-11-03,28.903480257252927,29.18006847916855,28.384877341161136,28.5577449798584,10019620.0,0.0,0.0
2000-11-06,28.62687576790379,29.456639962131028,28.62687576790379,29.24919891357422,9439467.0,0.0,0.0
2000-11-07,29.110914836277246,30.04439987400724,29.110914836277246,30.009828567504883,5772998.0,0.0,0.0
2000-11-08,29.94066790405904,30.14810671575214,29.3183426153295,29.59493064880371,6296195.0,0.0,0.0
2000-11-09,29.31835500480829,30.078972418287414,29.21463444842477,29.69866371154785,7997004.0,0.0,0.0
2000-11-10,29.456640336451336,29.80237542177278,29.11090525112989,29.525787353515625,5825129.0,0.0,0.0
2000-11-13,28.21200157727375,28.488589719530676,27.555104739413547,28.004560470581055,7685477.0,0.0,0.0
2000-11-14,27.866272678733647,28.903478445917173,27.831699153160866,28.69603729248047,6890088.0,0.0,0.0
2000-11-15,28.350303813421682,28.868906729513476,28.142862646984966,28.5577449798584,6208610.0,0.0,0.0
2000-11-16,28.315113360646397,28.905011324253277,28.315113360646397,28.59271240234375,5551887.0,0.179233,0.0
2000-11-17,28.662108004711737,29.078506506850196,28.002810376325844,28.315109252929688,4020162.0,0.0,0.0
2000-11-20,28.176314446490668,28.453913494165292,27.343517303466797,27.343517303466797,4174142.0,0.0,0.0
